TrialName,Participant,Sample,Emp,Probability
BalanceUnder,OA4,0,emp1,0.4772862290778725
BalanceUnder,OA6,0,emp1,0.6001630976341962
BalanceUnder,OA5,0,emp1,0.9012697303102977
BalanceUnder,OA7,0,emp1,0.8874031997242376
BalanceUnder,OA12,0,emp1,0.4688300028948995
BalanceUnder,Oa14,0,emp1,0.5831693865331735
BalanceUnder,OA18,0,emp1,0.9072809301149324
BalanceUnder,OA23,0,emp1,0.412178326422277
BalanceUnder,OA25,0,emp1,0.4971612507570452
BalanceUnder,OA22,0,emp1,0.25717145911267947
BalanceUnder,OA27,0,emp1,0.317919479827752
BalanceUnder,OA19,0,emp1,0.4378358493083901
BalanceUnder,OA31,0,emp1,0.5517861468036384
BalanceUnder,OA33,0,emp1,0.4762411663339216
BalanceUnder,OA28,0,emp1,0.8410294914795197
BalanceUnder,OA37,0,emp1,0.43226903822908336
BalanceUnder,OA38,0,emp1,0.45319942164319554
BalanceUnder,OA36,0,emp1,0.8465259169434977
BalanceUnder,OA45,0,emp1,0.4332650741848416
BalanceUnder,OA40,0,emp1,0.3290023321215605
BalanceUnder,OA44,0,emp1,1.475880214656434e-13
BalanceUnder,OA56,0,emp1,0.4822253562137394
BalanceUnder,OA57,0,emp1,0.4277022535516616
BalanceUnder,OA53,0,emp1,0.451043324652061
BalanceUnder,OA50,0,emp1,0.9136451384331412
BalanceUnder,OA58,0,emp1,0.45870803524764137
BalanceUnder,OA54,0,emp1,0.43991513583360375
BalanceUnder,OA48,0,emp1,0.43767685882044155
BalanceUnder,OA61,0,emp1,0.6652281243336918
BalanceUnder,OA65,0,emp1,0.42450921493801186
BalanceUnder,OA69,0,emp1,0.4295805664131913
BalanceUnder,OA66,0,emp1,0.4569064519583844
BalanceUnder,OA67,0,emp1,0.8936155895335292
BalanceUnder,TA8,0,emp2,0.9999755735646161
BalanceUnder,TA10,0,emp2,0.9998945071880386
BalanceUnder,TA13,0,emp2,0.7957523863062067
BalanceUnder,TA12,0,emp2,0.2771867407829799
BalanceUnder,TA11,0,emp2,0.4969642357399486
BalanceUnder,TA14,0,emp2,0.8790088724974493
BalanceUnder,TA7,0,emp2,0.9999847243774783
BalanceUnder,TA17,0,emp2,0.25271302184463185
BalanceUnder,TA21,0,emp2,0.4211386044391251
BalanceUnder,TA26,0,emp2,0.39738934716655894
BalanceUnder,TA24,0,emp2,0.4384294821272673
BalanceUnder,TA29,0,emp2,0.5423099563302108
BalanceUnder,TA28,0,emp2,0.49023436970081574
BalanceUnder,TA32,0,emp2,0.5453737907042682
BalanceUnder,TA33,0,emp2,0.4304863716662539
