TrialName,Participant,Sample,Emp,Probability
BalanceUnder,OA4,0,emp1,0.6151852646193393
BalanceUnder,OA6,0,emp1,0.6287267851115562
BalanceUnder,OA5,0,emp1,0.9893797670646036
BalanceUnder,OA7,0,emp1,0.9621295804052848
BalanceUnder,OA12,0,emp1,0.5975947266441936
BalanceUnder,Oa14,0,emp1,0.9996938006955091
BalanceUnder,OA18,0,emp1,0.8964199588868604
BalanceUnder,OA23,0,emp1,0.47213811799715255
BalanceUnder,OA25,0,emp1,0.6484412355765002
BalanceUnder,OA22,0,emp1,0.2990737910452362
BalanceUnder,OA27,0,emp1,0.25491669649020143
BalanceUnder,OA19,0,emp1,0.5130339910538878
BalanceUnder,OA31,0,emp1,0.6127911201700404
BalanceUnder,OA33,0,emp1,0.6346906405908008
BalanceUnder,OA28,0,emp1,0.05289841496124068
BalanceUnder,OA37,0,emp1,0.5174582125608314
BalanceUnder,OA38,0,emp1,0.6031366846710196
BalanceUnder,OA36,0,emp1,0.9980254055877218
BalanceUnder,OA45,0,emp1,0.5714601264052176
BalanceUnder,OA40,0,emp1,0.9997523116566458
BalanceUnder,OA44,0,emp1,2.99675602269242e-11
BalanceUnder,OA56,0,emp1,0.64214964108642
BalanceUnder,OA57,0,emp1,0.5491081232636409
BalanceUnder,OA53,0,emp1,0.5966944971933423
BalanceUnder,OA50,0,emp1,0.9818565956519975
BalanceUnder,OA58,0,emp1,0.611789691691311
BalanceUnder,OA54,0,emp1,0.5360013447384743
BalanceUnder,OA48,0,emp1,0.5354025296212458
BalanceUnder,OA61,0,emp1,0.6840135780702944
BalanceUnder,OA65,0,emp1,0.5057238285010413
BalanceUnder,OA69,0,emp1,0.19137178722634798
BalanceUnder,OA66,0,emp1,0.6045119629505191
BalanceUnder,OA67,0,emp1,0.9627535917210785
BalanceUnder,OC1,0,emp2,0.9998868013858591
BalanceUnder,OC13,0,emp2,0.2809326173005115
BalanceUnder,OC14,0,emp2,0.41640611581911474
BalanceUnder,OC4,0,emp2,0.4126738571705378
BalanceUnder,OC15,0,emp2,0.4136394799706503
BalanceUnder,OC3,0,emp2,0.9657152026082557
BalanceUnder,OC16,0,emp2,0.40879914495540914
BalanceUnder,OC17,0,emp2,0.9999778143964175
BalanceUnder,OC21,0,emp2,0.2946892812860427
BalanceUnder,OC26,0,emp2,0.3657651036101334
